Time,Source,No.,Destination,Protocol,Length,Info
40.537579,192.167.7.175,56,192.167.255.255,NBNS,110,Registration NB WORKGROUP<00>
40.716283,192.167.8.65,57,192.167.255.255,NBNS,92,Name query NB WPAD<00>
41.08431,VMware_8a:a0:c6,58,Broadcast,ARP,60,Who has 192.167.7.175? (ARP Probe)
41.287687,192.167.7.175,59,192.167.255.255,NBNS,110,Registration NB WORKGROUP<00>
41.371932,192.167.7.175,60,192.167.255.255,NBNS,110,Registration NB DESKTOP-099UQRG<20>
41.487074,192.167.8.65,61,192.167.255.255,NBNS,92,Name query NB WPAD<00>
41.758316,VMware_8a:a0:c6,62,Broadcast,RARP,60,Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6
42.053164,192.167.7.175,63,192.167.255.255,NBNS,110,Registration NB WORKGROUP<00>
42.084144,VMware_8a:a0:c6,64,Broadcast,ARP,60,ARP Announcement for 192.167.7.175
42.531677,192.167.7.157,65,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.531767,192.167.7.157,66,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538248,192.167.7.157,67,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538251,192.167.7.157,68,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538517,192.167.7.157,69,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.53852,192.167.7.157,70,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538522,192.167.7.157,71,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538524,192.167.7.157,72,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538797,192.167.7.157,73,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538799,192.167.7.157,74,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538802,192.167.7.157,75,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538804,192.167.7.157,76,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538806,192.167.7.157,77,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.538808,192.167.7.157,78,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.53908,192.167.7.157,79,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539083,192.167.7.157,80,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539085,192.167.7.157,81,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539087,192.167.7.157,82,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539089,192.167.7.157,83,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539091,192.167.7.157,84,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539291,192.167.7.157,85,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539293,192.167.7.157,86,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539297,192.167.7.157,87,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539299,192.167.7.157,88,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539301,192.167.7.157,89,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539495,192.167.7.157,90,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539498,192.167.7.157,91,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.5395,192.167.7.157,92,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539502,192.167.7.157,93,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.539504,192.167.7.157,94,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.53961,192.167.7.157,95,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.548168,192.167.7.157,96,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.548171,192.167.7.157,97,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.54842,192.167.7.157,98,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
42.548423,192.167.7.157,99,255.255.255.255,ICMP,60,"Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
